"pos_num","URI","URL","pub_date","update_date","section","subsection","byline","type","keywords"
5,"nyt://article/2486c98b-783d-510c-aa78-f199a4e57c39","https://www.nytimes.com/2024/03/21/style/kate-middleton-lookalike-heidi-agan.html","2024-03-21","2024-03-22 12:53:56","Style","","By Madison Malone Kircher","Article","Cyberharassment"
5,"nyt://article/2486c98b-783d-510c-aa78-f199a4e57c39","https://www.nytimes.com/2024/03/21/style/kate-middleton-lookalike-heidi-agan.html","2024-03-21","2024-03-22 12:53:56","Style","","By Madison Malone Kircher","Article","Impersonators and Impressionists (Entertainment)"
5,"nyt://article/2486c98b-783d-510c-aa78-f199a4e57c39","https://www.nytimes.com/2024/03/21/style/kate-middleton-lookalike-heidi-agan.html","2024-03-21","2024-03-22 12:53:56","Style","","By Madison Malone Kircher","Article","Catherine, Princess of Wales"
5,"nyt://article/2486c98b-783d-510c-aa78-f199a4e57c39","https://www.nytimes.com/2024/03/21/style/kate-middleton-lookalike-heidi-agan.html","2024-03-21","2024-03-22 12:53:56","Style","","By Madison Malone Kircher","Article","Great Britain"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Rumors and Misinformation"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Conspiracy Theories"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Right-Wing Extremism and Alt-Right"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Social Media"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Conservatism (US Politics)"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","United States Politics and Government"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Presidential Election of 2020"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Presidential Election of 2024"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Freedom of Speech and Expression"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Censorship"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Trump, Donald J"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Miller, Stephen (1985- )"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Benz, Michael A"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Biden, Joseph R Jr"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Disinformation Governance Board"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Cybersecurity and Infrastructure Security Agency"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Homeland Security Department"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Republican Party"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Democratic Party"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","X (Formerly Twitter)"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","Facebook Inc"
6,"nyt://article/ca1d4fe6-2a59-580d-8c69-cb77f989a734","https://www.nytimes.com/2024/03/17/us/politics/trump-disinformation-2024-social-media.html","2024-03-17","2024-03-19 08:36:46","U.S.","Politics","By Jim Rutenberg and Steven Lee Myers","Article","YouTube.com"
7,"nyt://interactive/b6aa9de4-4ba2-5454-96df-a8be3ad71538","https://www.nytimes.com/interactive/2024/03/22/briefing/news-quiz-trump-biden-texas.html","2024-03-22","2024-03-22 17:44:51","Briefing","","","Interactive","Content Type: Quiz"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Aviation Accidents, Safety and Disasters"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Airlines and Airplanes"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","United States Politics and Government"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Boeing Company"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Federal Bureau of Investigation"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Justice Department"
8,"nyt://article/8a7a8b00-c7a4-55ab-8d9b-d7a10f859f29","https://www.nytimes.com/2024/03/22/us/politics/fbi-investigation-boeing.html","2024-03-22","2024-03-22 16:05:28","U.S.","Politics","By Mark Walker","Article","Alaska Airlines"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Transplants"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Kidneys"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Pigs"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Genetic Engineering"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Surgery and Surgeons"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Diabetes"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Black People"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","your-feed-science"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","Massachusetts General Hospital"
9,"nyt://article/69b6695e-4442-5fe6-bfca-1fd1763c67d1","https://www.nytimes.com/2024/03/21/health/pig-kidney-organ-transplant.html","2024-03-21","2024-03-22 08:21:54","Health","","By Roni Caryn Rabin","Article","eGenesis"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","United States Politics and Government"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Presidential Election of 2024"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Women and Girls"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Fashion and Apparel"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Content Type: Personal Profile"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","your-feed-fashion"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Trump, Donald J"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","Noem, Kristi"
10,"nyt://article/f6c82030-ed79-5a3b-9e90-4d02e6fc5111","https://www.nytimes.com/2024/03/20/style/kristi-noem-teeth-trump-vice-president.html","2024-03-20","2024-03-22 22:31:59","Style","","By Vanessa Friedman","Article","South Dakota"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","United States International Relations"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","Presidential Election of 2024"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","United States Politics and Government"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","Sex Crimes"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","Social Media"
11,"nyt://article/acd39ce6-a834-5a63-b629-b67bb07b6252","https://www.nytimes.com/2024/03/18/opinion/tiktok-trump-pence-biden.html","2024-03-18","2024-03-18 23:59:46","Opinion","","By Gail Collins and Bret Stephens","Article","Labor and Jobs"
